Attribute,Description,Valid Values,DependsOn,Required,Properties,Validation Rules,columnType,Format,Pattern,Minimum,Maximum,IsTemplate,Source
userSpecificRestriction,The user-specific restrictions associated with the access requirement.,,,,,,string,,,,,,
sourceGeography,The geographical source of the data associated with the access requirement. Equivalent to DUOPlus1.,"AD, AE, AF, AG, AI, AL, AM, AO, AQ, AR, AS, AT, AU, AW, AX, AZ, BA, BB, BD, BE, BF, BG, BH, BI, BJ, BL, BM, BN, BO, BQ, BR, BS, BT, BV, BW, BY, BZ, CA, CC, CD, CF, CG, CH, CI, CK, CL, CM, CN, CO, CR, CU, CV, CW, CX, CY, CZ, DE, DJ, DK, DM, DO, DZ, EC, EE, EG, EH, ER, ES, ET, FI, FJ, FK, FM, FO, FR, GA, GB, GD, GE, GF, GG, GH, GI, GL, GM, GN, GP, GQ, GR, GS, GT, GU, GW, GY, HK, HM, HN, HR, HT, HU, ID, IE, IL, IM, IN, IO, IQ, IR, IS, IT, JE, JM, JO, JP, KE, KG, KH, KI, KM, KN, KP, KR, KW, KY, KZ, LA, LB, LC, LI, LK, LR, LS, LT, LU, LV, LY, MA, MC, MD, ME, MF, MG, MH, MK, ML, MM, MN, MO, MP, MQ, MR, MS, MT, MU, MV, MW, MX, MY, MZ, NA, NC, NE, NF, NG, NI, NL, NO, NP, NR, NU, NZ, OM, PA, PE, PF, PG, PH, PK, PL, PM, PN, PR, PS, PT, PW, PY, QA, RE, RO, RS, RU, RW, SA, SB, SC, SD, SE, SG, SH, SI, SJ, SK, SL, SM, SN, SO, SR, SS, ST, SV, SX, SY, SZ, TC, TD, TF, TG, TH, TJ, TK, TL, TM, TN, TO, TR, TT, TV, TW, TZ, UA, UG, UM, US, UY, UZ, VA, VC, VE, VG, VI, VN, VU, WF, WS, YE, YT, ZA, ZM, ZW",,,,,string_list,,,,,,
populationType,The population studied in the research associated with the access requirement. Equivalent to DUOPlus2,,,,,,string,,,,,,
deidentificationType,The type of de-identification applied to the data associated with the access requirement. Equivalent to DUOPlus3.,"HIPPA_LDS, SafeHarbor, ExpertDetermination, Pseudonymized, Anonymized, Other",,,,,string_list,,,,,,
dataPermission,The permissions associated with the data under the access requirement. Equivalent to DUOPlus4.,"Agreement, Attestation, Award, Other",,,,,string_list,,,,,,
dataTier,The tier of data access associated with the access requirement. Equivalent to DUOPlus5.,"Anonymous, Open, Controlled, Private",,,,,string_list,,,,,,
license,The license under which the data associated with the access requirement is shared. Equivalent to DUOPlus6.,"CC0, CC_BY, CC_BY_NC, CC_BY_ND, CC_BY_SA, CC_BY_NC_ND, CC_BY_NC_SA, Apache_2.0, MIT, GPL_3.0, BSD_3_Clause",,,,,string_list,,,,,,
attribution,The attribution statement for the data associated with the access requirement. Equivalent to DUOPlus7.,,,,,,string,,,,,,
DUO:0000026,"User Specific Restriction - This data use modifier indicates that use is limited to use by approved users. If providing this term, please describe the restrictions in column userSpecificRestriction.",,userSpecificRestriction,,US,,string,,,,,,
DUO:0000020,"Collaboration Required - This data use modifier indicates that the requestor must agree to collaboration with the primary study investigator(s). If providing this term, please note the contact email in column collaborationRequired.",,collaborationRequired,,COL,,string,,,,,,
DUO:0000012,"Research Specific Restrictions - This data use modifier indicates that use is limited to studies of a certain research type. If providing this term, please note the research type(s) in column researchSpecificRestrictions.",,researchSpecificRestrictions,,RS,,string,,,,,,
DUO:0000025,"Time Limit on Use - This data use modifier indicates that use is approved for a specific number of months. If providing this term, please provide the number of months in column timeLimitOnUse.",,timeLimitOnUse,,TS,,string,,,,,,
DUO:0000024,"Publication Moratorium - This data use modifier indicates that requestor agrees not to publish results of studies until a specific date. If providing this term, please provide the date in column publicationMoratorium.",,publicationMoratorium,,MOR,,string,,,,,,
DUO:0000028,"Institution Specific Restriction - This data use modifier indicates that use is limited to use within an approved institution. If providing this term, please provide the institution ROR ID(s) in column institutionSpecificRestriction.",,institutionSpecificRestriction,,IS,,string,,,,,,
DUO:0000022,"Geographical Restriction - This data use modifier indicates that use is limited to within a specific geographic region. If providing this term, please provide the applicable country code(s) in column geographicalRestriction.",,geographicalRestriction,,GS,,string,,,,,,
DUO:0000007,"Disease Specific Research - This data use permission indicates that use is allowed provided it is related to the specified disease. If providing this term, please provide the disease MONDO ID(s) in column diseaseSpecificResearch.",,diseaseSpecificResearch,,DS,,string,,,,,,
DUOPlus1,Source geography is relevant to governance decisions.,,sourceGeography,,,,string,,,,,,
DUOPlus2,Study population is relevant to governance decisions.,,populationType,,,,string,,,,,,
DUOPlus3,Data deidentification is relevant to governance decisions.,,deidentificationType,,,,string,,,,,,
DUOPlus4,A data permission designation is associated with the Study.,,dataPermission,,,,string,,,,,,
DUOPlus5,A data tier designation is associated with the Study.,,dataTier,,,,string,,,,,,
DUOPlus6,A license is associated with the Study.,,license,,,,string,,,,,,
DUOPlus7,Attribution conditions are associated with this Study.,,attribution,,,,string,,,,,,
